r,s,projected_gradient_norm,collision_value,sign_u,sign_v,sign_w,amp_r,amp_s
5,9,0.4714045207910316,0.0,1.0,1.0,1.0,1.0,1.0
5,16,0.4714045207910316,0.0,1.0,1.0,1.0,1.0,1.0
6,10,0.4714045207910316,0.0,1.0,-1.0,-1.0,1.0,1.0
7,11,0.4714045207910316,0.0,-1.0,1.0,-1.0,1.0,1.0
11,17,0.4714045207910316,0.0,1.0,-1.0,-1.0,1.0,1.0
11,18,0.4714045207910316,0.0,-1.0,-1.0,1.0,1.0,1.0
13,16,0.4714045207910316,0.0,-1.0,1.0,-1.0,1.0,1.0
13,17,0.4714045207910316,0.0,1.0,-1.0,-1.0,1.0,1.0
1,5,0.47140452079103157,0.0,-1.0,-1.0,1.0,1.0,1.0
6,13,0.47140452079103157,0.0,-1.0,-1.0,1.0,1.0,1.0
7,12,0.47140452079103157,0.0,-1.0,-1.0,1.0,1.0,1.0
5,15,0.4714045207910315,0.0,-1.0,-1.0,1.0,1.0,1.0
12,18,0.4714045207910315,0.0,-1.0,1.0,-1.0,1.0,1.0
7,18,0.46754575585329117,0.0,-1.0,-1.0,1.0,1.0,1.0
15,18,0.46754575585329117,0.0,-1.0,-1.0,1.0,1.0,1.0
0,3,0.4675457558532911,0.0,1.0,1.0,1.0,1.0,1.0
7,14,0.46754575585329106,0.0,-1.0,1.0,-1.0,1.0,1.0
1,4,0.467545755853291,0.0,1.0,1.0,1.0,1.0,1.0
1,9,0.467545755853291,0.0,1.0,1.0,1.0,1.0,1.0
10,15,0.467545755853291,0.0,-1.0,-1.0,1.0,1.0,1.0
14,17,0.46754575585329095,0.0,1.0,-1.0,-1.0,1.0,1.0
0,6,0.4675457558532909,0.0,1.0,-1.0,-1.0,1.0,1.0
3,9,0.46754575585329083,0.0,-1.0,-1.0,1.0,1.0,1.0
4,10,0.46754575585329083,0.0,1.0,-1.0,-1.0,1.0,1.0
6,17,0.46754575585329083,0.0,-1.0,-1.0,1.0,1.0,1.0
4,22,0.4647863984094,-0.2357022603955158,-1.0,-1.0,1.0,1.0,2.0
15,23,0.4647863984094,-0.2357022603955158,-1.0,1.0,-1.0,1.0,2.0
17,23,0.4647863984094,-0.2357022603955158,-1.0,-1.0,1.0,1.0,2.0
9,21,0.46478639840939995,-0.2357022603955158,-1.0,-1.0,1.0,1.0,2.0
4,25,0.4647863984093999,-0.2357022603955158,1.0,-1.0,-1.0,1.0,2.0
7,24,0.46478639840939984,-0.2357022603955158,-1.0,-1.0,1.0,1.0,2.0
7,25,0.46478639840939984,-0.2357022603955158,1.0,1.0,1.0,1.0,2.0
9,20,0.46478639840939984,-0.2357022603955158,1.0,1.0,1.0,1.0,2.0
0,22,0.4647863984093997,-0.2357022603955158,-1.0,1.0,-1.0,1.0,2.0
15,21,0.4647863984093997,-0.2357022603955158,1.0,1.0,1.0,1.0,2.0
0,24,0.46478639840939967,-0.2357022603955158,1.0,-1.0,-1.0,1.0,2.0
17,20,0.4647863984093996,-0.2357022603955158,1.0,-1.0,-1.0,1.0,2.0
1,25,0.4430933555200979,0.0,-1.0,1.0,-1.0,1.0,2.0
3,21,0.4430933555200979,0.0,1.0,-1.0,-1.0,1.0,2.0
10,22,0.4430933555200979,0.0,-1.0,1.0,-1.0,1.0,2.0
18,21,0.4430933555200979,0.0,-1.0,-1.0,1.0,1.0,2.0
1,20,0.4430933555200978,0.0,1.0,-1.0,-1.0,1.0,2.0
6,22,0.4430933555200978,0.0,-1.0,-1.0,1.0,1.0,2.0
6,23,0.4430933555200978,0.0,1.0,1.0,1.0,1.0,2.0
18,24,0.4430933555200978,0.0,1.0,-1.0,-1.0,1.0,2.0
3,24,0.44309335552009776,0.0,-1.0,-1.0,1.0,1.0,2.0
10,23,0.44309335552009776,0.0,-1.0,-1.0,1.0,1.0,2.0
14,20,0.4430933555200977,0.0,-1.0,-1.0,1.0,1.0,2.0
14,25,0.4430933555200977,0.0,1.0,-1.0,-1.0,1.0,2.0
17,19,0.4285599646586979,-0.2357022603955158,-1.0,1.0,-1.0,1.0,2.8284271247461903
7,19,0.42855996465869783,-0.2357022603955158,1.0,-1.0,-1.0,1.0,2.8284271247461903
9,19,0.4285599646586977,-0.2357022603955158,-1.0,-1.0,1.0,1.0,2.8284271247461903
15,19,0.4285599646586977,-0.2357022603955158,-1.0,-1.0,1.0,1.0,2.8284271247461903
4,19,0.42855996465869767,-0.2357022603955158,-1.0,1.0,-1.0,1.0,2.8284271247461903
0,19,0.42855996465869745,-0.2357022603955158,-1.0,-1.0,1.0,1.0,2.8284271247461903
2,22,0.42278122161782095,0.0,1.0,-1.0,-1.0,1.0,2.0
5,24,0.42278122161782095,0.0,-1.0,1.0,-1.0,1.0,2.0
13,25,0.42278122161782095,0.0,-1.0,1.0,-1.0,1.0,2.0
16,23,0.42278122161782095,0.0,-1.0,-1.0,1.0,1.0,2.0
12,20,0.4227812216178209,0.0,-1.0,-1.0,1.0,1.0,2.0
8,21,0.42278122161782083,0.0,-1.0,-1.0,1.0,1.0,2.0
0,4,0.402288141500928,0.0,-1.0,-1.0,1.0,1.0,1.0
1,3,0.402288141500928,0.0,-1.0,1.0,-1.0,1.0,1.0
3,6,0.402288141500928,0.0,-1.0,-1.0,1.0,1.0,1.0
4,7,0.402288141500928,0.0,1.0,-1.0,-1.0,1.0,1.0
9,15,0.402288141500928,0.0,-1.0,1.0,-1.0,1.0,1.0
10,18,0.40228814150092795,0.0,1.0,-1.0,-1.0,1.0,1.0
14,18,0.40228814150092795,0.0,-1.0,1.0,-1.0,1.0,1.0
15,17,0.40228814150092795,0.0,1.0,-1.0,-1.0,1.0,1.0
0,7,0.4022881415009279,0.0,-1.0,-1.0,1.0,1.0,1.0
6,14,0.4022881415009279,0.0,-1.0,-1.0,1.0,1.0,1.0
1,10,0.40228814150092784,0.0,1.0,-1.0,-1.0,1.0,1.0
9,17,0.4022881415009278,0.0,-1.0,-1.0,1.0,1.0,1.0
3,19,0.38572661584678913,0.0,1.0,-1.0,-1.0,1.0,2.8284271247461903
18,19,0.3857266158467891,0.0,-1.0,-1.0,1.0,1.0,2.8284271247461903
1,19,0.38572661584678897,0.0,-1.0,-1.0,1.0,1.0,2.8284271247461903
