generation,rank,basin_id,parent_id,roles,expansion_count,soft_nullity,susceptibility,death_distance,source
51,23,1796,970,deletion,3,35.99999999999966,0.5982153646345381,2.2653805180172233,off_manifold_hop
51,23,1320,844,death,18,35.99999999999966,1.0014136727533087,1.8281057563953143,exact_hop
51,23,567,78,explore,13,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
52,23,1873,1848,genericity,1,34.99999999999977,1.0017673352341534,1.9623859737933937,exact_hop
52,23,1796,970,deletion,4,35.99999999999966,0.5982153646345381,2.265380518017222,off_manifold_hop
52,23,1320,844,death,19,35.99999999999966,1.0014136727533087,1.8281057563953151,exact_hop
53,23,1913,1873,genericity,1,34.99999999999977,1.0017345794112829,2.2532897539210945,off_manifold_hop
53,23,1796,970,deletion,5,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
53,23,1320,844,death,20,35.99999999999966,1.0014136727533087,1.8281057563953163,exact_hop
54,23,1913,1873,genericity,2,34.99999999999977,1.0017345794112829,2.253289753921097,off_manifold_hop
54,23,1796,970,deletion,6,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
54,23,1320,844,death,21,35.99999999999966,1.0014136727533087,1.8281057563953176,exact_hop
54,23,567,78,explore,14,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
55,23,1966,1913,genericity,1,34.999999999999545,1.0033547953769948,2.1036577320944665,off_manifold_hop
55,23,1796,970,deletion,7,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
55,23,1320,844,death,22,35.99999999999966,1.0014136727533087,1.8281057563953156,exact_hop
56,23,2005,1966,genericity,1,34.999999999999545,1.0094848896276583,3.292461888887436,wall:continuation_stalled
56,23,1796,970,deletion,8,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
56,23,1320,844,death,23,35.99999999999977,1.0014136727533087,1.8281057563953176,exact_hop
57,23,2028,2005,genericity,1,34.000000000000455,1.0050020165917954,3.406139730186567,off_manifold_hop
57,23,1796,970,deletion,9,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
57,23,1320,844,death,24,35.99999999999966,1.0014136727533087,1.8281057563953174,exact_hop
57,23,567,78,explore,15,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
58,23,2058,2028,genericity,1,34.00000000000057,1.00861628245069,3.273233467275445,wall:continuation_stalled
58,23,1796,970,deletion,10,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
58,23,1320,844,death,25,35.99999999999966,1.0014136727533087,1.8281057563953156,exact_hop
59,23,2106,2058,genericity,1,33.999999999999545,1.00741179828852,2.78214711960971,off_manifold_hop
