trial,sign,stage,step,radius,shell_weight,obstruction,constraint_residual,distance_from_home,max_abs_amplitude,accepted,landing
0,1.0,2,300,3.125,1.0,0.07613750549752911,0.00977240216989981,3.124973721462459,3.0577395657886135,False,relax
0,1.0,2,349,3.125,1.0,0.07613750549752911,0.024243746503061905,3.1249448814951983,3.0543895497265563,False,relax
0,1.0,3,0,3.125,0.3,0.07613750549752911,0.018617466311713352,3.1249486248032405,3.0544048842713125,False,relax
0,1.0,3,50,3.125,0.3,0.07613750549752911,0.008437115093829974,3.1247709195408304,3.0561379682245557,False,relax
0,1.0,3,100,3.125,0.3,0.07613750549752911,0.008293470599651008,3.1248085656700098,3.0546468972666245,False,relax
0,1.0,3,150,3.125,0.3,0.07613750549752911,0.00979527304335176,3.1248822788852393,3.053704434882335,False,relax
0,1.0,3,200,3.125,0.3,0.07613750549752911,0.007015116265113282,3.124820934509227,3.052640383246519,False,relax
0,1.0,3,250,3.125,0.3,0.07613750549752911,0.013117414164529398,3.1249277709742045,3.049967364944726,False,relax
0,1.0,3,300,3.125,0.3,0.07613750549752911,0.007654609640961573,3.1248586893246757,3.049112012797586,False,relax
0,1.0,3,349,3.125,0.3,0.07613750549752911,0.01374710812313549,3.1249511895704374,3.0464168610347335,False,relax
0,1.0,-1,-1,3.125,0.0,0.07613750549752911,0.0007446648048915406,3.2441778164821167,nan,False,exact_free
